,Capacity,Operator,Coordinates,latitude,longitude
Altcourse,1324,G4S,"(53.46194444444445, -2.9355555555555557)",53.4619444444445,-2.93555555555556
Ashfield,400,Serco,"(51.481388888888894, -2.4397222222222226)",51.4813888888889,-2.43972222222222
Askham Grange,128,HMP,"(53.92583333333333, -1.1844444444444444)",53.9258333333333,-1.18444444444444
Aylesbury,443,HMP,"(51.82194444444445, -0.7997222222222222)",51.8219444444445,-0.799722222222222
Bedford,506,HMP,"(52.13944444444444, -0.47000000000000003)",52.1394444444444,-0.47
Belmarsh,910,HMP,"(51.49638888888889, 0.09277777777777778)",51.4963888888889,0.0927777777777778
Berwyn,2106,HMP,"(53.03696, -2.92733)",53.03696,-2.92733
Birmingham,1450,HMP,"(52.49272, -1.93845)",52.49272,-1.93845
Brinsford,569,HMP,"(52.64694444444444, -2.11)",52.6469444444444,-2.11
Bristol,614,HMP,"(51.48083333333334, -2.5922222222222224)",51.4808333333333,-2.59222222222222
Brixton,798,HMP,"(51.45191064636698, -0.12206704747012861)",51.451910646367,-0.122067047470129
Bronzefield,569,Sodexo Justice Services,"(51.43277777777777, -0.4841666666666667)",51.4327777777778,-0.484166666666667
Buckley Hall,381,HMP,"(53.635, -2.145)",53.635,-2.145
Bullingdon,1114,HMP,"(51.848888888888894, -1.093611111111111)",51.8488888888889,-1.09361111111111
Bure,624,HMP,"(52.75944444444445, 1.346111111111111)",52.7594444444445,1.34611111111111
Cardiff,784,HMP,"(51.48111111111111, -3.168333333333333)",51.4811111111111,-3.16833333333333
Channings Wood,731,HMP,"(50.51166666666666, -3.6527777777777777)",50.5116666666667,-3.65277777777778
Chelmsford,695,HMP,"(51.73583333333333, 0.48638888888888887)",51.7358333333333,0.486388888888889
Coldingley,513,HMP,"(51.322500000000005, -0.6419444444444444)",51.3225,-0.641944444444444
Cookham Wood,157,HMP,"(51.36416666666667, 0.49416666666666664)",51.3641666666667,0.494166666666667
Dartmoor,646,HMP,"(50.54972222222222, -3.9961111111111114)",50.5497222222222,-3.99611111111111
Deerbolt,453,HMP,"(54.5425, -1.9380555555555556)",54.5425,-1.93805555555556
Doncaster,1145,Serco,"(53.52472222222222, -1.1458333333333333)",53.5247222222222,-1.14583333333333
Dovegate,860,Serco,"(52.87138888888889, -1.7808333333333333)",52.8713888888889,-1.78083333333333
Downview,358,HMP,"(51.33833333333334, -0.18805555555555553)",51.3383333333333,-0.188055555555556
Drake Hall,315,HMP,"(52.87888888888889, -2.241388888888889)",52.8788888888889,-2.24138888888889
Durham,981,HMP,"(54.77333333333333, -1.5680555555555555)",54.7733333333333,-1.56805555555556
East Sutton Park,100,HMP,"(51.21527777777778, 0.6158333333333333)",51.2152777777778,0.615833333333333
Eastwood Park,362,HMP,"(51.635, -2.4683333333333333)",51.635,-2.46833333333333
Erlestoke,470,HMP,"(51.28388888888889, -2.044722222222222)",51.2838888888889,-2.04472222222222
Exeter,533,HMP,"(50.728611111111114, -3.5322222222222224)",50.7286111111111,-3.53222222222222
Featherstone,702,HMP,"(52.65, -2.111666666666667)",52.65,-2.11166666666667
Feltham,762,HMP,"(51.440555555555555, -0.4352777777777778)",51.4405555555556,-0.435277777777778
Ford,557,HMP,"(50.81583333333333, -0.5775)",50.8158333333333,-0.5775
Forest Bank,1424,Sodexo Justice Services,"(53.514722222222225, -2.301944444444444)",53.5147222222222,-2.30194444444444
Fosse Way,1715,Serco,"(52.583333333333336, -1.145)",52.5833333333333,-1.145
Foston Hall,290,HMP,"(52.8825, -1.725277777777778)",52.8825,-1.72527777777778
Five Wells,1680,G4S,"(52.285, -0.6919444444444445)",52.285,-0.691944444444445
Frankland,750,HMP,"(54.805277777777775, -1.551111111111111)",54.8052777777778,-1.55111111111111
Full Sutton,608,HMP,"(53.983333333333334, -0.8666666666666667)",53.9833333333333,-0.866666666666667
Garth,847,HMP,"(53.680277777777775, -2.7583333333333333)",53.6802777777778,-2.75833333333333
Gartree,869,HMP,"(52.49611111111111, -0.9608333333333333)",52.4961111111111,-0.960833333333333
Grendon,235,HMP,"(51.893055555555556, -1.0058333333333334)",51.8930555555556,-1.00583333333333
Guys Marsh,578,HMP,"(50.984722222222224, -2.2197222222222224)",50.9847222222222,-2.21972222222222
Hatfield,260,HMP,"(53.586666666666666, -0.9813888888888889)",53.5866666666667,-0.981388888888889
Haverigg,644,HMP,"(54.20027777777778, -3.313611111111111)",54.2002777777778,-3.31361111111111
Hewell,1431,HMP,"(52.32138888888889, -1.9930555555555556)",52.3213888888889,-1.99305555555556
High Down,1208,HMP,"(51.33555555555556, -0.1897222222222222)",51.3355555555556,-0.189722222222222
Highpoint North,379,HMP,"(52.14055555555556, 0.5133333333333333)",52.1405555555556,0.513333333333333
Highpoint South,944,HMP,"(52.13777777777778, 0.5138888888888888)",52.1377777777778,0.513888888888889
Hindley,440,HMP,"(53.51777777777777, -2.576944444444444)",53.5177777777778,-2.57694444444444
Hollesley Bay,330,HMP,"(52.05138888888889, 1.4519444444444445)",52.0513888888889,1.45194444444444
Holme House,1211,HMP,"(54.57777777777778, -1.2930555555555554)",54.5777777777778,-1.29305555555556
Hull,1044,HMP,"(53.74777777777778, -0.29583333333333334)",53.7477777777778,-0.295833333333333
Humber,1064,HMP,"(53.769444444444446, -0.6411111111111111)",53.7694444444444,-0.641111111111111
Huntercombe,365,HMP,"(51.587500000000006, -1.0183333333333333)",51.5875,-1.01833333333333
Isis,622,HMP,"(51.494166666666665, 0.08916666666666666)",51.4941666666667,0.0891666666666667
Isle of Wight (Albany),567,HMP,"(50.71222222222222, -1.3072222222222223)",50.7122222222222,-1.30722222222222
Isle of Wight (Parkhurst),536,HMP,"(50.71527777777778, -1.3083333333333333)",50.7152777777778,-1.30833333333333
Kirkham,590,HMP,"(53.775, -2.8733333333333335)",53.775,-2.87333333333333
Kirklevington Grange,283,HMP,"(54.495, -1.3397222222222223)",54.495,-1.33972222222222
Lancaster Farms,549,HMP,"(54.05305555555555, -2.771111111111111)",54.0530555555556,-2.77111111111111
Leeds,1004,HMP,"(53.79555555555555, -1.576111111111111)",53.7955555555556,-1.57611111111111
Leicester,392,HMP,"(52.627594071634725, -1.1318688334868228)",52.6275940716347,-1.13186883348682
Lewes,723,HMP,"(50.8725, -0.005833333333333334)",50.8725,-0.00583333333333333
Leyhill,532,HMP,"(51.62833333333333, -2.438888888888889)",51.6283333333333,-2.43888888888889
Lincoln,738,HMP,"(53.23527777777778, -0.5180555555555556)",53.2352777777778,-0.518055555555556
Lindholme,990,HMP,"(53.53333333333333, -0.9666666666666667)",53.5333333333333,-0.966666666666667
Littlehey,1200,HMP,"(52.28055555555555, -0.31222222222222223)",52.2805555555556,-0.312222222222222
Liverpool,1184,HMP,"(53.45777777777778, -2.9697222222222224)",53.4577777777778,-2.96972222222222
Long Lartin,622,HMP,"(52.108333333333334, -1.853611111111111)",52.1083333333333,-1.85361111111111
Low Newton,336,HMP,"(54.80580422771092, -1.556620303081983)",54.8058042277109,-1.55662030308198
Lowdham Grange,690,Serco,"(53.015, -1.04)",53.015,-1.04
Maidstone,600,HMP,"(51.27916666666667, 0.523888888888889)",51.2791666666667,0.523888888888889
Manchester,1269,HMP,"(53.4925, -2.2463888888888888)",53.4925,-2.24638888888889
Moorland,1006,HMP,"(53.54861111111111, -0.9716666666666667)",53.5486111111111,-0.971666666666667
Morton Hall,392,HMP,"(53.16777777777777, -0.6872222222222223)",53.1677777777778,-0.687222222222222
New Hall,446,HMP,"(53.63583333333333, -1.6116666666666668)",53.6358333333333,-1.61166666666667
Northumberland,1348,Sodexo Justice Services,"(55.29611111111111, -1.6344444444444444)",55.2961111111111,-1.63444444444444
North Sea Camp,306,HMP,"(52.94127625602167, 0.06297872432099658)",52.9412762560217,0.0629787243209966
Norwich,767,HMP,"(52.63666666666666, 1.3177777777777777)",52.6366666666667,1.31777777777778
Nottingham,549,HMP,"(52.984722222222224, -1.1547222222222222)",52.9847222222222,-1.15472222222222
Oakwood,1605,G4S,"(52.64666666666667, -2.115277777777778)",52.6466666666667,-2.11527777777778
Onley,742,HMP,"(52.32805555555556, -1.2469444444444444)",52.3280555555556,-1.24694444444444
Parc,1800,G4S,"(51.530833333333334, -3.560833333333333)",51.5308333333333,-3.56083333333333
Pentonville,1250,HMP,"(51.544999999999995, -0.11583333333333334)",51.545,-0.115833333333333
Peterborough,840,Sodexo Justice Services,"(52.58638888888889, -0.26)",52.5863888888889,-0.26
Portland,624,HMP,"(50.55027777777777, -2.4225)",50.5502777777778,-2.4225
Prescoed,178,HMP,"(51.68611111111111, -2.9433333333333334)",51.6861111111111,-2.94333333333333
Preston,750,HMP,"(53.76166666666666, -2.6886111111111113)",53.7616666666667,-2.68861111111111
Ranby,1098,HMP,"(53.32138888888889, -0.9983333333333333)",53.3213888888889,-0.998333333333333
Risley,1085,HMP,"(53.43833333333333, -2.5238888888888886)",53.4383333333333,-2.52388888888889
Rochester,620,HMP,"(51.37, 0.4886111111111111)",51.37,0.488611111111111
Rye Hill,664,G4S,"(52.32833333333333, -1.2425000000000002)",52.3283333333333,-1.2425
Send,282,HMP,"(51.27305555555555, -0.4905555555555556)",51.2730555555556,-0.490555555555556
Sheppey Cluster (Elmley),985,HMP,"(51.388333333333335, 0.85)",51.3883333333333,0.85
Sheppey Cluster (Standford Hill),462,HMP,"(51.39527777777778, 0.8488888888888889)",51.3952777777778,0.848888888888889
Sheppey Cluster (Swaleside),1132,HMP,"(51.39194444444444, 0.8524999999999999)",51.3919444444444,0.8525
Stafford,741,HMP,"(52.81166666666666, -2.117777777777778)",52.8116666666667,-2.11777777777778
Stocken,806,HMP,"(52.74722222222222, -0.5802777777777778)",52.7472222222222,-0.580277777777778
Stoke Heath,632,HMP,"(52.869166666666665, -2.5236111111111112)",52.8691666666667,-2.52361111111111
Styal,459,HMP,"(53.34027777777778, -2.2391666666666667)",53.3402777777778,-2.23916666666667
Sudbury,581,HMP,"(52.89416666666666, -1.7652777777777777)",52.8941666666667,-1.76527777777778
Swansea,422,HMP,"(51.615, -3.9488888888888893)",51.615,-3.94888888888889
Swinfen Hall,624,HMP,"(52.65277777777778, -1.8052777777777778)",52.6527777777778,-1.80527777777778
Thameside,1200,Serco,"(51.494166666666665, 0.08916666666666666)",51.4941666666667,0.0891666666666667
The Mount,1100,HMP,"(51.725, -0.5408333333333333)",51.725,-0.540833333333333
The Verne,600,HMP,"(50.56222222222222, -2.4358333333333335)",50.5622222222222,-2.43583333333333
Thorn Cross,321,HMP,"(53.35027777777778, -2.540833333333333)",53.3502777777778,-2.54083333333333
Usk,250,HMP,"(51.69944444444444, -2.9002777777777777)",51.6994444444444,-2.90027777777778
Wakefield,751,HMP,"(53.6825, -1.5091666666666668)",53.6825,-1.50916666666667
Wandsworth,1665,HMP,"(51.44987805112913, -0.17738325911712205)",51.4498780511291,-0.177383259117122
Warren Hill,222,HMP,"(52.04972222222222, 1.4494444444444445)",52.0497222222222,1.44944444444444
Wayland,1017,HMP,"(52.553888888888885, 0.8580555555555556)",52.5538888888889,0.858055555555556
Wealstun,527,HMP,"(53.91416666666667, -1.3311111111111111)",53.9141666666667,-1.33111111111111
Werrington,162,HMP,"(53.022777777777776, -2.0872222222222225)",53.0227777777778,-2.08722222222222
Wetherby,360,HMP,"(53.93555555555555, -1.3680555555555556)",53.9355555555556,-1.36805555555556
Whatton,841,HMP,"(52.947222222222216, -0.9116666666666667)",52.9472222222222,-0.911666666666667
Whitemoor,448,HMP,"(52.575, 0.07916666666666666)",52.575,0.0791666666666667
Winchester,544,HMP,"(51.06305555555555, -1.3280555555555555)",51.0630555555556,-1.32805555555556
Woodhill,819,HMP,"('NaN', 'NaN')",52.01503,-0.80667
Wormwood Scrubs,1277,HMP,"(51.516666666666666, -0.24027777777777778)",51.5166666666667,-0.240277777777778
Wymott,1144,HMP,"(53.67833333333333, -2.750277777777778)",53.6783333333333,-2.75027777777778
HMP Maghaberry,745,Department of Justice NI,"(54.513888888888886, -6.186111111111112)",54.5138888888889,-6.18611111111111
HMP Magilligan,452,Department of Justice NI,"(55.175, -6.948055555555555)",55.175,-6.94805555555556
HMP Hydebank Wood,306,Department of Justice NI,"(54.54194444444444, -5.926944444444445)",54.5419444444444,-5.92694444444445
Woodlands JJC,48,Department of Justice NI,"('NaN', 'NaN')",54.64343,-5.68557
Addiewell,700,Sodexo Justice Services,"(55.84666666666667, -3.5991666666666666)",55.8466666666667,-3.59916666666667
Barlinnie,1600,Scottish Prison Service,"(55.86944444444445, -4.1819444444444445)",55.8694444444445,-4.18194444444444
Castle Huntly,285,Scottish Prison Service,"(56.44888888888889, -3.133888888888889)",56.4488888888889,-3.13388888888889
Stirling,117,Scottish Prison Service,"('NaN', 'NaN')",56.14218,-3.94739
Dumfries,200,Scottish Prison Service,"(55.068333333333335, -3.6255555555555556)",55.0683333333333,-3.62555555555556
Edinburgh,872,Scottish Prison Service,"(55.92666666666666, -3.261111111111111)",55.9266666666667,-3.26111111111111
Glenochil,670,Scottish Prison Service,"(56.1425, -3.8177777777777777)",56.1425,-3.81777777777778
Grampian,560,Scottish Prison Service,"(57.48972222222222, -1.791111111111111)",57.4897222222222,-1.79111111111111
Greenock,131,Scottish Prison Service,"(55.942499999999995, -4.782222222222222)",55.9425,-4.78222222222222
Inverness,110,Scottish Prison Service,"(57.474444444444444, -4.221388888888889)",57.4744444444444,-4.22138888888889
Kilmarnock,692,Serco,"(55.583333333333336, -4.432222222222222)",55.5833333333333,-4.43222222222222
Low Moss,884,Scottish Prison Service,"(55.90611111111111, -4.22)",55.9061111111111,-4.22
Perth,670,Scottish Prison Service,"(56.385555555555555, -3.4299999999999997)",56.3855555555556,-3.43
Polmont,760,Scottish Prison Service,"(55.98361111111111, -3.7305555555555556)",55.9836111111111,-3.73055555555556
Shotts,553,Scottish Prison Service,"(55.82833333333333, -3.8299999999999996)",55.8283333333333,-3.83
